Date,Close_Time,Open_Time,Close_Price,Open_5min_Low,Gap_Raw,5min_Trend
2026-01-02,00:59,01:00,4336.95,4317.75,-18.699999999999818,DOWN
2026-01-02,06:59,08:00,4318.84,4318.91,0.09000000000014552,UP
2026-01-05,06:59,08:00,4332.4,4332.38,0.0,DOWN
2026-01-06,06:59,08:00,4449.1,4449.09,0.019999999999527063,DOWN
2026-01-07,06:59,08:00,4495.25,4495.23,0.0,DOWN
2026-01-08,06:59,08:00,4456.58,4456.56,-0.019999999999527063,DOWN
2026-01-09,06:59,08:00,4478.34,4476.43,0.0,DOWN
2026-01-12,06:59,08:00,4510.0,4510.16,0.18000000000029104,UP
2026-01-13,06:59,08:00,4599.25,4597.61,0.0,DOWN
2026-01-14,06:59,08:00,4586.72,4586.7,-0.020000000000436557,DOWN
2026-01-15,06:59,08:00,4626.33,4620.56,0.0,DOWN
2026-01-16,06:59,08:00,4617.03,4617.01,-0.019999999999527063,DOWN
2026-01-19,06:59,08:00,4597.54,4597.54,0.0,UP
2026-01-20,04:29,08:00,4671.91,4667.71,0.0,DOWN
2026-01-21,06:59,08:05,4763.85,4758.95,-1.430000000000291,DOWN
2026-01-22,06:59,08:05,4832.16,4830.88,0.6700000000000728,DOWN
2026-01-23,06:59,08:05,4935.74,4949.17,16.26000000000022,UP
2026-01-26,06:59,08:05,4983.78,5003.42,30.659999999999854,UP
2026-01-27,06:59,08:05,5010.96,5028.63,23.970000000000255,UP
2026-01-28,06:59,08:05,5179.94,5178.26,3.2899999999999636,DOWN
2026-01-29,06:59,08:05,5415.34,5431.7,25.289999999999964,UP
2026-01-30,06:59,08:05,5380.42,5417.67,38.899999999999636,UP
2026-02-02,06:59,08:05,4893.37,4810.52,-64.92000000000007,DOWN
2026-02-03,06:59,08:05,4660.44,4693.17,40.530000000000655,UP
