Date,Min_Time,Min_Price,Price_Diff
2026-01-02,05:39,4318.3,0.569999999999709
2026-01-03,05:31,4325.3,8.590000000000146
2026-01-06,05:45,4438.17,12.199999999999818
2026-01-07,05:30,4483.38,14.659999999999854
2026-01-08,06:00,4449.94,10.5
2026-01-09,05:30,4469.93,9.789999999999964
2026-01-10,05:43,4502.29,9.090000000000146
2026-01-13,06:44,4589.5,15.409999999999854
2026-01-14,05:35,4570.37,19.5
2026-01-15,06:43,4617.96,17.670000000000073
2026-01-16,05:30,4603.74,14.010000000000218
2026-01-17,05:31,4581.06,16.960000000000036
2026-01-21,05:43,4749.04,16.390000000000327
2026-01-22,05:30,4796.67,43.80000000000018
2026-01-23,05:59,4914.41,26.520000000000437
2026-01-24,05:30,4976.25,14.270000000000437
2026-01-27,06:36,4990.29,71.71000000000004
2026-01-28,05:33,5133.1,55.899999999999636
2026-01-29,05:30,5353.35,66.09999999999945
2026-01-30,05:33,5308.92,116.93000000000029
2026-01-31,05:56,4810.57,85.36999999999989
2026-02-03,06:02,4643.99,48.86000000000058
