閉場日時,閉場価格,開場日時,開場価格,休場時間(h),タイプ,価格変動,変動率(%)
2026-01-01 00:59:00,4336.95,2026-01-02 01:00:00,4318.25,24.02,週末,-18.70,-0.431
2026-01-02 06:59:00,4318.84,2026-01-02 08:00:00,4318.93,1.02,メンテナンス,+0.09,+0.002
2026-01-03 06:59:00,4332.40,2026-01-05 08:00:00,4332.40,49.02,週末,+0.00,+0.000
2026-01-06 06:59:00,4449.10,2026-01-06 08:00:00,4449.12,1.02,メンテナンス,+0.02,+0.000
2026-01-07 06:59:00,4495.25,2026-01-07 08:00:00,4495.25,1.02,メンテナンス,+0.00,+0.000
2026-01-08 06:59:00,4456.58,2026-01-08 08:00:00,4456.56,1.02,メンテナンス,-0.02,-0.000
2026-01-09 06:59:00,4478.34,2026-01-09 08:00:00,4478.34,1.02,メンテナンス,+0.00,+0.000
2026-01-10 06:59:00,4510.00,2026-01-12 08:00:00,4510.18,49.02,週末,+0.18,+0.004
2026-01-13 06:59:00,4599.25,2026-01-13 08:00:00,4599.25,1.02,メンテナンス,+0.00,+0.000
2026-01-14 06:59:00,4586.72,2026-01-14 08:00:00,4586.70,1.02,メンテナンス,-0.02,-0.000
2026-01-15 06:59:00,4626.33,2026-01-15 08:00:00,4626.33,1.02,メンテナンス,+0.00,+0.000
2026-01-16 06:59:00,4617.03,2026-01-16 08:00:00,4617.01,1.02,メンテナンス,-0.02,-0.000
2026-01-17 06:59:00,4597.54,2026-01-19 08:00:00,4597.54,49.02,週末,+0.00,+0.000
2026-01-20 04:29:00,4671.91,2026-01-20 08:00:00,4671.91,3.52,日次休場,+0.00,+0.000
2026-01-21 06:59:00,4763.85,2026-01-21 08:05:00,4762.42,1.10,メンテナンス,-1.43,-0.030
2026-01-22 06:59:00,4832.16,2026-01-22 08:05:00,4832.83,1.10,メンテナンス,+0.67,+0.014
2026-01-23 06:59:00,4935.74,2026-01-23 08:05:00,4952.00,1.10,メンテナンス,+16.26,+0.329
2026-01-24 06:59:00,4983.78,2026-01-26 08:05:00,5014.44,49.10,週末,+30.66,+0.615
2026-01-27 06:59:00,5010.96,2026-01-27 08:05:00,5034.93,1.10,メンテナンス,+23.97,+0.478
2026-01-28 06:59:00,5179.94,2026-01-28 08:05:00,5183.23,1.10,メンテナンス,+3.29,+0.064
2026-01-29 06:59:00,5415.34,2026-01-29 08:05:00,5440.63,1.10,メンテナンス,+25.29,+0.467
2026-01-30 06:59:00,5380.42,2026-01-30 08:05:00,5419.32,1.10,メンテナンス,+38.90,+0.723
2026-01-31 06:59:00,4893.37,2026-02-02 08:05:00,4828.45,49.10,週末,-64.92,-1.327
2026-02-03 06:59:00,4660.44,2026-02-03 08:05:00,4700.97,1.10,メンテナンス,+40.53,+0.870
2026-02-04 06:59:00,4947.21,2026-02-04 08:05:00,4957.90,1.10,メンテナンス,+10.69,+0.216
2026-02-05 06:59:00,4965.11,2026-02-05 08:05:00,4995.21,1.10,メンテナンス,+30.10,+0.606
2026-02-06 06:59:00,4777.85,2026-02-06 08:05:00,4777.38,1.10,メンテナンス,-0.47,-0.010
2026-02-07 06:59:00,4967.62,2026-02-09 08:05:00,4987.84,49.10,週末,+20.22,+0.407
